Id,Expected
d077bad31c8c5f54ffaa27a623511c38_0,
d077bad31c8c5f54ffaa27a623511c38_1,525578 29 526858 29 528138 29 529418 29 530692 46 531972 46 533252 46 534532 46 535812 46 537087 57 538367 57 539647 57 540927 57 542207 80 543487 80 544767 80 546047 80 547327 97 548607 97 549887 97 551167 97 552447 97 553721 114 555001 114 556281 114 557561 114 558841 114 560121 114 561401 114 562681 114 563961 114 565241 120 566521 120 567801 120 569081 120 570361 126 571641 126 572921 126 574201 126 575481 126 576761 126 578041 126 579321 126 580601 126 581881 131 583161 131 584441 131 585721 131 587001 131 588281 131 589561 131 590841 131 592121 137 593401 137 594681 137 595961 137 597241 137 598521 143 599801 143 601081 143 602361 143 603647 137 604927 137 606207 137 607487 137 608767 131 610047 131 611327 131 612607 131 613887 131 615167 131 616447 131 617727 131 619007 131 620292 126 621572 126 622852 126 624132 126 625412 120 626692 120 627972 120 629252 120 630532 120 631818 109 633098 109 634378 109 635658 109 636938 103 638218 103 639498 103 640778 103 642058 103 643344 74 644624 74 645904 74 647184 74 648470 57 649750 57 651030 57 652310 57 653601 29 654881 29 656161 29 657441 29 658721 29
bec33b5e3d68f9d4c331587f9b9d49e2_0,5572 23 6852 23 8132 23 9412 23 10692 23 11984 6 13264 6 14544 6 15824 6 17092 35 18372 35 19652 35 20932 35 22218 34 23498 34 24778 34 26058 34 27338 34 28612 40 29892 40 31172 40 32452 40 33727 51 35007 51 36287 51 37567 51 38841 57 40121 57 41401 57 42681 57 43961 57 45201 11 45230 68 46481 11 46510 68 47761 11 47790 68 49041 11 49070 68 50321 97 51601 97 52881 97 54161 97 55435 109 56715 109 57995 109 59275 109 60555 109 61830 114 63110 114 64390 114 65670 114 66921 137 68201 137 69481 137 70761 137 72030 142 73310 142 74590 142 75870 142 77150 142 78424 143 79704 143 80984 143 82264 143 83544 97 83647 34 84824 97 84927 34 86104 97 86207 34 87384 97 87487 34 88664 91 88767 34 89944 91 90047 34 91224 91 91327 34 92504 91 92607 34 93784 91 93887 34 95064 86 96344 86 97624 86 98904 86 100184 86 101464 86 102744 86 104024 86 105304 80 106584 80 107864 80 109144 80 110424 80 111710 74 112990 74 114270 74 115550 74 116830 68 118110 68 119390 68 120670 68 121944 68 123224 68 124504 68 125784 68 127064 68 128344 68 129624 68 130904 68 132184 68 133464 63 134744 63 136024 63 137304 63 138584 57 139864 57 141144 57 142424 57 143704 51 144984 51 146264 51 147544 51 148824 51 150110 45 151390 45 152670 45 153950 45 155235 29 156515 29 157795 29 159075 29 354881 6 356161 6 357441 6 358721 6 359995 12 361275 12 362555 12 363835 12 365115 12 366395 17 367675 17 368955 17 370235 17 371515 23 372795 23 374075 23 375355 23 376635 23 377915 23 379195 23 380475 23 381755 23 383035 23 384315 23 385595 23 386875 23 388155 29 389435 29 390715 29 391995 29 393275 29 394555 29 395835 29 397115 29 398401 23 399681 23 400961 23 402241 23 403521 23 404801 23 406081 23 407361 23 408641 23 409921 23 411201 23 412481 23 413761 23 415035 23 416315 23 417595 23 418875 23 420155 23 421384 11 421430 22 422664 11 422710 22 423944 11 423990 22 425224 11 425270 22 426504 68 427784 68 429064 68 430344 68 431624 68 432904 68 434184 68 435464 68 436744 68 438024 63 439304 63 440584 63 441864 63 443144 63 444424 63 445704 63 446984 63 448270 51 449550 51 450830 51 452110 51 453390 51 454670 51 455950 51 457230 51 458510 51 459790 51 461070 51 462350 51 463630 51 464915 40 466195 40 467475 40 468755 40 470035 40 471315 40 472595 40 473875 40 475155 40 476441 34 477721 34 479001 34 480281 34 481567 23 482847 23 484127 23 485407 23 486687 23 487972 12 489252 12 490532 12 491812 12 710035 29 711315 29 712595 29 713875 29 715150 51 716430 51 717710 51 718990 51 720258 69 721538 69 722818 69 724098 69 725378 69 726652 86 727932 86 729212 86 730492 86 731761 103 733041 103 734321 103 735601 103 736875 115 738155 115 739435 115 740715 115 741995 115 743270 120 744550 120 745830 120 747110 120 748384 126 749664 126 750944 126 752224 126 753492 143 754772 143 756052 143 757332 143 758612 143 759881 154 761161 154 762441 154 763721 154 764995 160 766275 160 767555 160 768835 160 770110 171 771390 171 772670 171 773950 171 775230 171 776504 177 777784 177 779064 177 780344 177 781618 177 782898 177 784178 177 785458 177 786732 183 788012 183 789292 183 790572 183 791852 183 793132 183 794412 183 795692 183 796972 183 798247 188 799527 188 800807 188 802087 188 803361 189 804641 189 805921 189 807201 189 808481 189 809761 189 811041 189 812321 189 813601 189 814881 189 816161 189 817441 189 818721 189 820001 183 821281 183 822561 183 823841 183 825121 183 826395 189 827675 189 828955 189 830235 189 831515 189 832795 189 834075 189 835355 189 836635 183 837915 183 839195 183 840475 183 841755 183 843035 183 844315 183 845595 183 846875 183 848155 183 849435 183 850715 183 851995 183 853275 183 853510 28 854555 183 854790 28 855835 183 856070 28 857115 183 857350 28 858395 183 858630 28 859675 183 859898 52 860955 183 861178 52 862235 183 862458 52 863515 183 863738 52 864795 183 865012 63 866075 183 866292 63 867355 183 867572 63 868635 183 868852 63 869910 182 870127 74 871190 182 871407 74 872470 182 872687 74 873750 182 873967 74 875030 182 875241 80 876310 182 876521 80 877590 182 877801 80 878870 182 879081 80 880150 182 880361 80 881430 188 881630 91 882710 188 882910 91 883990 188 884190 91 885270 188 885470 91 886550 291 887830 291 889110 291 890390 291 891670 137 891847 114 892950 137 893127 114 894230 137 894407 114 895510 137 895687 114 896790 137 896967 114 898064 131 898247 114 899344 131 899527 114 900624 131 900807 114 901904 131 902087 114 903184 120 903361 120 904464 120 904641 120 905744 120 905921 120 907024 120 907201 120 908304 108 908481 120 909584 108 909761 120 910864 108 911041 120 912144 108 912321 120 913424 108 913601 120 914704 97 914881 120 915984 97 916161 120 917264 97 917441 120 918544 97 918721 120 919841 74 919995 120 921121 74 921275 120 922401 74 922555 120 923681 74 923835 120 924978 46 925115 115 926258 46 926395 115 927538 46 927675 115 928818 46 928955 115 930098 46 930235 115 931384 34 931521 109 932664 34 932801 109 933944 34 934081 109 935224 34 935361 109 936504 23 936641 103 937784 23 937921 103 939064 23 939201 103 940344 23 940481 103 941624 23 941767 91 942904 23 943047 91 944184 23 944327 91 945464 23 945607 91 946744 23 946887 91 948024 23 948184 63 949304 23 949464 63 950584 23 950744 63 951864 23 952024 63 953138 29 954418 29 955698 29 956978 29 958247 40 959527 40 960807 40 962087 40 963367 40 964647 40 965927 40 967207 40 968487 40 969767 34 971047 34 972327 34 973607 34 974887 28 976167 28 977447 28 978727 28 980007 28 981298 6 982578 6 983858 6 985138 6 1035898 17 1037178 17 1038458 17 1039738 17 1041012 23 1042292 23 1043572 23 1044852 23 1046132 23 1047412 23 1048692 23 1049972 23 1051252 23 1052538 12 1053818 12 1055098 12 1056378 12 1114012 58 1114115 6 1115292 58 1115395 6 1116572 58 1116675 6 1117852 58 1117955 6 1119121 80 1119235 6 1120401 80 1120515 6 1121681 80 1121795 6 1122961 80 1123075 6 1124241 126 1125521 126 1126801 126 1128081 126 1129355 126 1130635 126 1131915 126 1133195 126 1134475 126 1135755 132 1137035 132 1138315 132 1139595 132 1140875 126 1142155 126 1143435 126 1144715 126 1145995 126 1147275 126 1148555 126 1149835 126 1151115 126 1152401 120 1153681 120 1154961 120 1156241 120 1157521 120 1158801 120 1160081 120 1161361 120 1162641 120 1163921 120 1165201 120 1166481 120 1167761 120 1169041 120 1170321 120 1171601 120 1172881 120 1174167 108 1175447 108 1176727 108 1178007 108 1179287 108 1180567 108 1181847 108 1183127 108 1184407 108 1185692 98 1186972 98 1188252 98 1189532 98 1190812 98 1192092 98 1193372 98 1194652 98 1195938 86 1197218 86 1198498 86 1199778 86 1201058 86 1202338 86 1203618 86 1204898 86 1206178 86 1207458 80 1208738 80 1210018 80 1211298 80 1212584 74 1213864 74 1215144 74 1216424 74 1217704 74 1218984 74 1220264 74 1221544 74 1222824 74 1224110 62 1225390 62 1226670 62 1227950 62 1229241 40 1230521 40 1231801 40 1233081 40 1234361 40
bec33b5e3d68f9d4c331587f9b9d49e2_1,
4e8bfb905b78a91391adc0bb223c4eaf_0,159435 12 160715 12 161995 12 163275 12 164555 12 165841 17 167121 17 168401 17 169681 17 170967 23 172247 23 173527 23 174807 23 176087 23 177384 17 178664 17 179944 17 181224 17 182515 6 183795 6 185075 6 186355 6 187635 6 188927 11 190207 11 191487 11 192767 11 194041 23 195321 23 196601 23 197881 23 199167 28 200447 28 201727 28 203007 28 204287 28 205572 29 206852 29 208132 29 209412 29 210698 29 211978 29 213258 29 214538 29 215818 29 217104 28 218384 28 219664 28 220944 28 222224 34 223504 34 224784 34 226064 34 227344 34 228635 29 229915 29 231195 29 232475 29 233761 29 235041 29 236321 29 237601 29 238881 29 240161 29 241441 29 242721 29 244001 29 245287 28 246567 28 247847 28 249127 28 250412 29 251692 29 252972 29 254252 29 255532 29 256824 23 258104 23 259384 23 260664 23 261950 17 263230 17 264510 17 265790 17 267070 17 268350 17 269630 17 270910 17 272190 17 273470 5 273487 5 274750 5 274767 5 276030 5 276047 5 277310 5 277327 5 278590 5 278607 5 796904 6 798184 6 799464 6 800744 6 802012 35 803292 35 804572 35 805852 35 807132 35 808390 68 809670 68 810950 68 812230 68 813487 97 814767 97 816047 97 817327 97 818607 97 819875 115 821155 115 822435 115 823715 115 824978 132 826258 132 827538 132 828818 132 830098 132 831355 160 832635 160 833915 160 835195 160 836458 183 837738 183 839018 183 840298 183 841555 206 842835 206 844115 206 845395 206 846675 206 847944 223 849224 223 850504 223 851784 223 853052 235 854332 235 855612 235 856892 235 858172 235 859447 245 860727 245 862007 245 863287 245 864555 257 865835 257 867115 257 868395 257 869675 257 870950 262 872230 262 873510 262 874790 262 876070 262 877350 262 878630 262 879910 262 881190 262 882464 268 883744 268 885024 268 886304 268 887578 269 888858 269 890138 269 891418 269 892687 280 893967 280 895247 280 896527 280 897807 280 899087 280 900367 280 901647 280 902927 280 904195 292 905475 292 906755 292 908035 292 909315 292 910590 297 911870 297 913150 297 914430 297 915710 291 916990 291 918270 291 919550 291 920830 291 922110 291 923390 291 924670 291 925950 291 927224 297 928504 297 929784 297 931064 297 932350 291 933630 291 934910 291 936190 291 937470 291 938767 268 940047 268 941327 268 942607 268 943904 246 945184 246 946464 246 947744 246 949024 246 950315 229 951595 229 952875 229 954155 229 955435 223 956715 223 957995 223 959275 223 960555 223 961835 217 963115 217 964395 217 965675 217 966950 211 968230 211 969510 211 970790 211 972070 211 973350 205 974630 205 975910 205 977190 205 978470 194 979750 194 981030 194 982310 194 983590 188 984870 188 986150 188 987430 188 988710 188 989995 172 991275 172 992555 172 993835 172 995121 160 996401 160 997681 160 998961 160 1000241 160 1001527 148 1002807 148 1004087 148 1005367 148 1006652 132 1007932 132 1009212 132 1010492 132 1011772 132 1013058 120 1014338 120 1015618 120 1016898 120 1018190 97 1019470 97 1020750 97 1022030 97 1023310 97 1024595 80 1025875 80 1027155 80 1028435 80 1029732 40 1031012 40 1032292 40 1033572 40
4e8bfb905b78a91391adc0bb223c4eaf_1,159430 5 160710 5 161990 5 163270 5 164550 5 165824 17 167104 17 168384 17 169664 17 170944 23 172224 23 173504 23 174784 23 176064 23 177344 40 178624 40 179904 40 181184 40 182464 51 182521 6 183744 51 183801 6 185024 51 185081 6 186304 51 186361 6 187584 51 187641 6 188864 63 190144 63 191424 63 192704 63 193984 57 195264 57 196544 57 197824 57 199104 63 200384 63 201664 63 202944 63 204224 63 205504 68 206784 68 208064 68 209344 68 210624 74 211904 74 213184 74 214464 74 215744 74 217024 80 218304 80 219584 80 220864 80 222150 74 223430 74 224710 74 225990 74 227270 74 228550 85 229830 85 231110 85 232390 85 233675 86 234955 86 236235 86 237515 86 238795 86 240075 86 241355 86 242635 86 243915 86 245201 86 246481 86 247761 86 249041 86 250321 91 251601 91 252881 91 254161 91 255441 91 256732 92 258012 92 259292 92 260572 92 261864 86 263144 86 264424 86 265704 86 266984 86 268281 69 269561 69 270841 69 272121 69 273407 63 273475 12 274687 63 274755 12 275967 63 276035 12 277247 63 277315 12 278527 63 278595 12 279824 63 281104 63 282384 63 283664 63 284955 52 286235 52 287515 52 288795 52 290075 52 291372 6 292652 6 293932 6 295212 6
c193ac8d551c149b60f2965341caf528_0,
c193ac8d551c149b60f2965341caf528_1,
94a7f32574d6c748c41743c6c08a1d1a_0,221790 34 223070 34 224350 34 225630 34 226910 34 228178 52 229458 52 230738 52 232018 52 233292 63 234572 63 235852 63 237132 63 238412 63 239687 74 240967 74 242247 74 243527 74 244807 80 246087 80 247367 80 248647 80 249921 97 251201 97 252481 97 253761 97 255041 97 256315 109 257595 109 258875 109 260155 109 261430 120 262710 120 263990 120 265270 120 266550 120 267824 131 269104 131 270384 131 271664 131 272938 137 274218 137 275498 137 276778 137 278058 137 279338 143 280618 143 281898 143 283178 143 284452 155 285732 155 287012 155 288292 155 289572 155 290852 155 292132 155 293412 155 294692 155 295972 160 297252 160 298532 160 299812 160 301087 171 302367 171 303647 171 304927 171 306207 171 307487 171 308767 171 310047 171 311327 171 312601 177 313881 177 315161 177 316441 177 317721 177 319001 183 320281 183 321561 183 322841 183 324115 189 325395 189 326675 189 327955 189 329235 189 330515 195 331795 195 333075 195 334355 195 335635 195 336915 195 338195 195 339475 195 340755 195 342030 205 343310 205 344590 205 345870 205 347150 211 348430 211 349710 211 350990 211 352264 217 353544 217 354824 217 356104 217 357384 217 358664 223 359944 223 361224 223 362504 223 363778 229 365058 229 366338 229 367618 229 368898 229 370178 234 371458 234 372738 234 374018 234 375292 240 376572 240 377852 240 379132 240 380412 240 381692 240 382972 240 384252 240 385532 240 386807 251 388087 251 389367 251 390647 251 391927 245 393207 245 394487 245 395767 245 397047 245 398321 251 399601 251 400881 251 402161 251 403441 246 404721 246 406001 246 407281 246 408561 246 409835 252 411115 252 412395 252 413675 252 414955 246 415241 40 416235 246 416521 40 417515 246 417801 40 418795 246 419081 40 420075 246 420361 40 421350 251 421635 57 422630 251 422915 57 423910 251 424195 57 425190 251 425475 57 426470 245 426750 68 427750 245 428030 68 429030 245 429310 68 430310 245 430590 68 431590 245 431870 68 432870 245 433150 80 434150 245 434430 80 435430 245 435710 80 436710 245 436990 80 437984 246 438270 85 439264 246 439550 85 440544 246 440830 85 441824 246 442110 85 443104 246 443390 91 443635 17 444384 246 444670 91 444915 17 445664 246 445950 91 446195 17 446944 246 447230 91 447475 17 448224 246 448510 91 448755 17 449504 246 449784 103 450035 17 450784 246 451064 103 451315 17 452064 246 452344 103 452595 17 453344 246 453624 103 453875 17 454618 246 454898 114 455144 23 455898 246 456178 114 456424 23 457178 246 457458 114 457704 23 458458 246 458738 114 458984 23 459738 246 460018 114 460264 23 461012 252 461298 120 461538 29 462292 252 462578 120 462818 29 463572 252 463858 120 464098 29 464852 252 465138 120 465378 29 466132 246 466412 126 466652 35 467412 246 467692 126 467932 35 468692 246 468972 126 469212 35 469972 246 470252 126 470492 35 471252 246 471532 126 471772 35 472527 251 472812 132 473052 35 473807 251 474092 132 474332 35 475087 251 475372 132 475612 35 476367 251 476652 132 476892 35 477647 251 477932 132 478167 40 478927 251 479212 132 479447 40 480207 251 480492 132 480727 40 481487 251 481772 132 482007 40 482767 251 483052 132 483287 40 484041 257 484321 143 484567 40 485321 257 485601 143 485847 40 486601 257 486881 143 487127 40 487881 257 488161 143 488407 40 489161 423 489681 46 490441 423 490961 46 491721 423 492241 46 493001 423 493521 46 494281 423 494801 40 495561 423 496081 40 496841 423 497361 40 498121 423 498641 40 499401 423 499921 40 500681 417 501178 63 501961 417 502458 63 503241 417 503738 63 504521 417 505018 63 505795 423 506298 57 507075 423 507578 57 508355 423 508858 57 509635 423 510138 57 510915 423 511418 57 512201 417 512698 57 513481 417 513978 57 514761 417 515258 57 516041 417 516538 57 517321 423 517818 46 518601 423 519098 46 519881 423 520378 46 521161 423 521658 46 522441 423 522938 46 523721 440 524218 40 525001 440 525498 40 526281 440 526778 40 527561 440 528058 40 528847 434 529344 11 530127 434 530624 11 531407 434 531904 11 532687 434 533184 11 533967 434 534464 11 535252 429 536532 429 537812 429 539092 429 540372 429 541652 429 542932 429 544212 429 545498 360 546778 360 548058 360 549338 360 550618 360 551904 354 553184 354 554464 354 555744 354 557035 343 558315 343 559595 343 560875 343 562155 343 563441 343 564721 343 566001 343 567281 343 568567 337 569847 337 571127 337 572407 337 573687 337 574978 314 576258 314 577538 314 578818 314 580104 303 581384 303 582664 303 583944 303 585224 303 586515 252 587795 252 589075 252 590355 252 591652 223 592932 223 594212 223 595492 223 596830 154 598110 154 599390 154 600670 154 601950 154 603235 143 604515 143 605795 143 607075 143 608367 125 609647 125 610927 125 612207 125 613487 125 614767 114 616047 114 617327 114 618607 114 619898 97 621178 97 622458 97 623738 97 625018 97 626304 80 627584 80 628864 80 630144 80 631435 57 632715 57 633995 57 635275 57 636555 57
94a7f32574d6c748c41743c6c08a1d1a_1,
